"","subsidary","receiptid","category1","category2","category3","customerid","shopid","date","time","amount","sex","age","post"
"1","B",8779343,52,5202,"B520201",6285,45,20140530,18,7900,"F","40技~44技","033"
"2","B",8779343,52,5202,"B520202",6285,45,20140530,18,10000,"F","40技~44技","033"
"3","B",8779343,52,5202,"B520204",6285,45,20140530,18,5000,"F","40技~44技","033"
"4","B",8779343,52,5202,"B520205",6285,45,20140530,18,2959,"F","40技~44技","033"
"5","B",8779343,53,5303,"B530303",6285,45,20140530,18,7000,"F","40技~44技","033"
"6","B",8779343,53,5306,"B530602",6285,45,20140530,18,7900,"F","40技~44技","033"
"7","B",8779344,13,1301,"B130102",6285,45,20140530,18,18100,"F","40技~44技","033"
"8","B",8779344,17,1702,"B170203",6285,45,20140530,18,23110,"F","40技~44技","033"
"9","B",8779344,20,2006,"B200602",6285,45,20140530,18,16000,"F","40技~44技","033"
"10","B",8779345,16,1602,"B160202",6285,45,20140530,18,20000,"F","40技~44技","033"
"11","B",8779345,16,1603,"B160301",6285,45,20140530,18,9900,"F","40技~44技","033"
"12","B",6927879,10,1005,"B100504",7221,11,20150824,13,2400,"F","40技~44技","024"
"13","B",8640880,56,5601,"B560102",4734,43,20140124,13,3200,"F","45技~49技","016"
"14","B",8640880,62,6201,"B620102",4734,43,20140124,13,5000,"F","45技~49技","016"
"15","B",8919524,6,611,"B061105",7847,48,20150921,23,12800,"M","35技~39技","079"
"16","B",8919524,15,1501,"B150102",7847,48,20150921,23,28440,"M","35技~39技","079"
"17","B",8828522,90,9001,"B900103",12124,46,20150723,10,15000,"F","35技~39技","020"
"18","B",7879258,5,503,"B050311",17150,25,20140715,19,1100,"F","60技捞惑","013"
"19","B",7879258,5,510,"B051005",17150,25,20140715,19,3900,"F","60技捞惑","013"
"20","B",7879258,18,1802,"B180202",17150,25,20140715,19,3900,"F","60技捞惑","013"
"21","B",7879258,20,2006,"B200602",17150,25,20140715,19,9500,"F","60技捞惑","013"
"22","B",6519000,79,7903,"B790310",2716,7,20141216,21,14400,"F","50技~54技","055"
"23","B",6518999,43,4310,"B431001",9017,7,20141216,21,4880,"F","35技~39技","055"
"24","B",6518999,52,5205,"B520503",9017,7,20141216,21,7900,"F","35技~39技","055"
"25","B",6518999,52,5209,"B520903",9017,7,20141216,21,4500,"F","35技~39技","055"
"26","B",6518999,55,5501,"B550112",9017,7,20141216,21,10000,"F","35技~39技","055"
"27","B",6518999,65,6502,"B650202",9017,7,20141216,21,2980,"F","35技~39技","055"
"28","B",6518999,67,6704,"B670402",9017,7,20141216,21,10000,"F","35技~39技","055"
"29","B",6518999,73,7302,"B730201",9017,7,20141216,21,6990,"F","35技~39技","055"
"30","B",6518999,81,8104,"B810402",9017,7,20141216,21,3500,"F","35技~39技","055"
"31","B",6518869,66,6603,"B660301",5111,7,20141216,13,4900,"F","45技~49技","055"
"32","B",6519000,21,2108,"B210802",2716,7,20141216,21,350,"F","50技~54技","055"
"33","B",6519000,79,7902,"B790210",2716,7,20141216,21,8000,"F","50技~54技","055"
"34","B",6519000,79,7905,"B790502",2716,7,20141216,21,15000,"F","50技~54技","055"
"35","B",6519000,91,9101,"B910108",2716,7,20141216,21,2200,"F","50技~54技","055"
"36","B",6519001,76,7603,"B760301",734,7,20141216,22,10000,"F","60技捞惑","055"
"37","B",6519003,20,2008,"B200801",4317,7,20141216,12,2000,"F","45技~49技","055"
"38","B",6519004,10,1003,"B100305",1774,7,20141216,14,3950,"M","55技~59技","055"
"39","B",6518783,44,4401,"B440101",365,7,20141215,21,99000,"M","60技捞惑","055"
"40","B",6518784,67,6702,"B670201",8080,7,20141215,14,4500,"F","35技~39技","055"
"41","B",6518785,63,6309,"B630902",1663,7,20141215,15,10000,"F","55技~59技","055"
"42","B",6518786,67,6702,"B670201",4859,7,20141215,16,3500,"F","45技~49技","055"
"43","B",6518787,63,6309,"B630902",5569,7,20141215,16,11000,"M","45技~49技","055"
"44","B",6518788,67,6702,"B670201",8237,7,20141215,19,8000,"F","35技~39技","055"
"45","B",6518789,67,6702,"B670201",6601,7,20141215,21,3500,"F","40技~44技","055"
"46","B",6518790,57,5702,"B570204",1339,7,20141215,22,2000,"F","55技~59技","069"
"47","B",6518791,90,9001,"B900102",16296,7,20141215,14,52500,"M","45技~49技","055"
"48","B",6518792,90,9001,"B900102",10625,7,20141215,15,6860,"F","60技捞惑","055"
"49","B",6518793,90,9001,"B900102",8080,7,20141215,15,6860,"F","35技~39技","055"
"50","B",6518794,90,9001,"B900102",331,7,20141215,16,12460,"F","60技捞惑","055"
"51","B",6518795,90,9001,"B900103",454,7,20141215,16,9900,"F","60技捞惑","055"
"52","B",6482835,47,4701,"B470104",18776,7,20140825,12,6400,"F","60技捞惑","055"
"53","B",6518797,90,9001,"B900103",13721,7,20141215,18,9200,"F","35技~39技","055"
"54","B",6518798,90,9001,"B900101",733,7,20141215,20,56300,"F","60技捞惑","055"
"55","B",6518800,70,7006,"B700602",4859,7,20141215,16,9000,"F","45技~49技","055"
"56","B",6518801,30,3001,"B300103",3983,7,20141215,18,120000,"F","45技~49技","049"
"57","B",6518802,23,2302,"B230203",5988,7,20141215,13,25000,"F","40技~44技","055"
"58","B",6518802,23,2302,"B230205",5988,7,20141215,13,13400,"F","40技~44技","055"
"59","B",6518802,23,2303,"B230302",5988,7,20141215,13,83300,"F","40技~44技","055"
"60","B",6518803,88,8801,"B880106",5988,7,20141215,13,148000,"F","40技~44技","055"
"61","B",6518804,23,2302,"B230203",90,7,20141215,15,3800,"F","60技捞惑","055"
"62","B",6518804,23,2302,"B230208",90,7,20141215,15,29000,"F","60技捞惑","055"
"63","B",6518804,23,2302,"B230209",90,7,20141215,15,10800,"F","60技捞惑","055"
"64","B",6518805,31,3102,"B310202",13296,7,20141215,12,197700,"M","45技~49技","055"
"65","B",6518806,31,3102,"B310202",8336,7,20141215,15,20000,"F","35技~39技","055"
"66","B",6518807,90,9003,"B900301",6466,7,20141215,12,6000,"F","40技~44技","055"
"67","B",6518809,90,9003,"B900301",16486,7,20141215,13,2500,"F","20技~24技","052"
"68","B",6518810,90,9003,"B900301",18927,7,20141215,20,7100,"F","20技~24技","055"
"69","B",6518811,90,9003,"B900301",12228,7,20141215,20,20000,"F","30技~34技","055"
"70","B",6518812,90,9003,"B900301",18414,7,20141215,20,4600,"F","40技~44技","045"
"71","B",6518813,31,3101,"B310101",13296,7,20141215,12,242000,"M","45技~49技","055"
"72","B",6518814,31,3103,"B310303",6228,7,20141215,12,55000,"F","40技~44技","060"
"73","B",6518815,88,8801,"B880104",8262,7,20141215,13,82000,"F","35技~39技","055"
"74","B",6518816,88,8801,"B880104",8262,7,20141215,13,82000,"F","35技~39技","055"
"75","B",6518817,88,8802,"B880201",1414,7,20141215,15,24900,"F","55技~59技","055"
"76","B",6518818,31,3103,"B310302",16296,7,20141215,15,149800,"M","45技~49技","055"
"77","B",6518819,31,3102,"B310201",7561,7,20141215,16,82800,"F","40技~44技","055"
"78","B",7095294,10,1003,"B100305",4804,13,20150304,20,7900,"F","45技~49技","055"
"79","B",7095294,15,1507,"B150703",4804,13,20150304,20,3000,"F","45技~49技","055"
"80","B",7095289,74,7405,"B740501",4121,13,20150304,17,1980,"F","45技~49技","055"
"81","B",7095289,89,8901,"B890104",4121,13,20150304,17,4500,"F","45技~49技","055"
"82","B",7095289,91,9101,"B910104",4121,13,20150304,17,2000,"F","45技~49技","055"
"83","B",7095289,91,9101,"B910108",4121,13,20150304,17,3200,"F","45技~49技","055"
"84","B",7095291,1,101,"B010102",14913,13,20150304,17,2200,"M","60技捞惑","055"
"85","B",7095291,1,102,"B010207",14913,13,20150304,17,3400,"M","60技捞惑","055"
"86","B",7095291,5,501,"B050110",14913,13,20150304,17,600,"M","60技捞惑","055"
"87","B",7965077,4,402,"B040201",14948,27,20140226,22,4500,"F","45技~49技","039"
"88","B",7965077,14,1402,"B140204",14948,27,20140226,22,3200,"F","45技~49技","039"
"89","B",7965077,14,1402,"B140206",14948,27,20140226,22,3360,"F","45技~49技","039"
"90","B",7965077,14,1406,"B140604",14948,27,20140226,22,2980,"F","45技~49技","039"
"91","B",7965077,16,1603,"B160301",14948,27,20140226,22,2600,"F","45技~49技","039"
"92","B",7965077,21,2101,"B210107",14948,27,20140226,22,600,"F","45技~49技","039"
"93","B",7965077,47,4702,"B470202",14948,27,20140226,22,4900,"F","45技~49技","039"
"94","B",7965077,48,4802,"B480202",14948,27,20140226,22,6723,"F","45技~49技","039"
"95","B",7965077,57,5702,"B570201",14948,27,20140226,22,2000,"F","45技~49技","039"
"96","B",7965077,59,5901,"B590101",14948,27,20140226,22,1880,"F","45技~49技","039"
"97","B",6518822,31,3102,"B310201",13968,7,20141215,10,35900,"F","35技~39技","065"
"98","B",6518823,31,3103,"B310301",8336,7,20141215,15,29400,"F","35技~39技","055"
"99","B",6518825,90,9001,"B900102",4115,7,20141215,14,9700,"F","45技~49技","055"
"100","B",6612833,17,1703,"B170301",1006,7,20150930,13,9800,"F","55技~59技","055"
